item_a,item_b,department_a,department_b,basket_count,pair_basket_count,support,confidence_a_to_b,confidence_b_to_a,lift,category_affinity,anchor_item,recommended_item,recommendation_confidence,cross_sell_opportunity
DRY SAUCES/GRAVY,ORAL HYGIENE PRODUCTS,GROCERY,DRUG GM,191561,330,0.001723,0.053676,0.045789,1.4267,DRY SAUCES/GRAVY + ORAL HYGIENE PRODUCTS,DRY SAUCES/GRAVY,ORAL HYGIENE PRODUCTS,0.053676,Recommend ORAL HYGIENE PRODUCTS to baskets containing DRY SAUCES/GRAVY
BERRIES,MEAT - SHELF STABLE,PRODUCE,GROCERY,191561,867,0.004526,0.098121,0.065801,1.42655,BERRIES + MEAT - SHELF STABLE,BERRIES,MEAT - SHELF STABLE,0.098121,Recommend MEAT - SHELF STABLE to baskets containing BERRIES
ONIONS,REFRGRATD JUICES/DRNKS,PRODUCE,GROCERY,191561,2798,0.014606,0.184699,0.112809,1.426483,ONIONS + REFRGRATD JUICES/DRNKS,ONIONS,REFRGRATD JUICES/DRNKS,0.184699,Recommend REFRGRATD JUICES/DRNKS to baskets containing ONIONS
FROZEN MEAT,STONE FRUIT,MEAT-PCKGD,PRODUCE,191561,311,0.001624,0.039749,0.058251,1.426194,FROZEN MEAT + STONE FRUIT,STONE FRUIT,FROZEN MEAT,0.058251,Recommend FROZEN MEAT to baskets containing STONE FRUIT
DINNER SAUSAGE,WATER - CARBONATED/FLVRD DRINK,MEAT-PCKGD,GROCERY,191561,1164,0.006076,0.121706,0.071184,1.425771,DINNER SAUSAGE + WATER - CARBONATED/FLVRD DRINK,DINNER SAUSAGE,WATER - CARBONATED/FLVRD DRINK,0.121706,Recommend WATER - CARBONATED/FLVRD DRINK to baskets containing DINNER SAUSAGE
CONVENIENT BRKFST/WHLSM SNACKS,GREETING CARDS/WRAP/PARTY SPLY,GROCERY,DRUG GM,191561,639,0.003336,0.047959,0.099147,1.425445,CONVENIENT BRKFST/WHLSM SNACKS + GREETING CARDS/WRAP/PARTY SPLY,GREETING CARDS/WRAP/PARTY SPLY,CONVENIENT BRKFST/WHLSM SNACKS,0.099147,Recommend CONVENIENT BRKFST/WHLSM SNACKS to baskets containing GREETING CARDS/WRAP/PARTY SPLY
CANNED JUICES,CAT FOOD,GROCERY,GROCERY,191561,865,0.004516,0.045033,0.142881,1.424947,CANNED JUICES + CAT FOOD,CAT FOOD,CANNED JUICES,0.142881,Recommend CANNED JUICES to baskets containing CAT FOOD
FLUID MILK PRODUCTS,HISPANIC,GROCERY,GROCERY,191561,6703,0.034991,0.10124,0.492469,1.42485,FLUID MILK PRODUCTS + HISPANIC,HISPANIC,FLUID MILK PRODUCTS,0.492469,Recommend FLUID MILK PRODUCTS to baskets containing HISPANIC
FLUID MILK PRODUCTS,VEGETABLES - ALL OTHERS,GROCERY,PRODUCE,191561,7827,0.040859,0.118217,0.492388,1.424615,FLUID MILK PRODUCTS + VEGETABLES - ALL OTHERS,VEGETABLES - ALL OTHERS,FLUID MILK PRODUCTS,0.492388,Recommend FLUID MILK PRODUCTS to baskets containing VEGETABLES - ALL OTHERS
FROZEN PIE/DESSERTS,FROZEN PIZZA,GROCERY,GROCERY,191561,998,0.00521,0.162303,0.045723,1.424423,FROZEN PIE/DESSERTS + FROZEN PIZZA,FROZEN PIE/DESSERTS,FROZEN PIZZA,0.162303,Recommend FROZEN PIZZA to baskets containing FROZEN PIE/DESSERTS
BUTTER,DOG FOODS,GROCERY,GROCERY,191561,228,0.00119,0.04753,0.035658,1.423966,BUTTER + DOG FOODS,BUTTER,DOG FOODS,0.04753,Recommend DOG FOODS to baskets containing BUTTER
ICE CREAM/MILK/SHERBTS,SNACK NUTS,GROCERY,GROCERY,191561,613,0.0032,0.033158,0.137413,1.423865,ICE CREAM/MILK/SHERBTS + SNACK NUTS,SNACK NUTS,ICE CREAM/MILK/SHERBTS,0.137413,Recommend ICE CREAM/MILK/SHERBTS to baskets containing SNACK NUTS
COUPON/MISC ITEMS,FACIAL TISS/DNR NAPKIN,KIOSK-GAS,GROCERY,191561,236,0.001232,0.04878,0.035954,1.423589,COUPON/MISC ITEMS + FACIAL TISS/DNR NAPKIN,COUPON/MISC ITEMS,FACIAL TISS/DNR NAPKIN,0.04878,Recommend FACIAL TISS/DNR NAPKIN to baskets containing COUPON/MISC ITEMS
FLUID MILK PRODUCTS,HEAT/SERVE,GROCERY,MEAT-PCKGD,191561,2486,0.012978,0.037548,0.491985,1.423449,FLUID MILK PRODUCTS + HEAT/SERVE,HEAT/SERVE,FLUID MILK PRODUCTS,0.491985,Recommend FLUID MILK PRODUCTS to baskets containing HEAT/SERVE
CAT FOOD,MAGAZINE,GROCERY,DRUG GM,191561,303,0.001582,0.05005,0.044976,1.423118,CAT FOOD + MAGAZINE,CAT FOOD,MAGAZINE,0.05005,Recommend MAGAZINE to baskets containing CAT FOOD
DRY SAUCES/GRAVY,ORGANICS FRUIT & VEGETABLES,GROCERY,PRODUCE,191561,235,0.001227,0.038224,0.045667,1.42289,DRY SAUCES/GRAVY + ORGANICS FRUIT & VEGETABLES,ORGANICS FRUIT & VEGETABLES,DRY SAUCES/GRAVY,0.045667,Recommend DRY SAUCES/GRAVY to baskets containing ORGANICS FRUIT & VEGETABLES
FRZN BREAKFAST FOODS,ROLLS,GROCERY,PASTRY,191561,254,0.001326,0.036594,0.051553,1.422775,FRZN BREAKFAST FOODS + ROLLS,ROLLS,FRZN BREAKFAST FOODS,0.051553,Recommend FRZN BREAKFAST FOODS to baskets containing ROLLS
ISOTONIC DRINKS,PROCESSED,GROCERY,PRODUCE,191561,167,0.000872,0.033697,0.036808,1.422733,ISOTONIC DRINKS + PROCESSED,PROCESSED,ISOTONIC DRINKS,0.036808,Recommend ISOTONIC DRINKS to baskets containing PROCESSED
APPLES,CANDY - PACKAGED,PRODUCE,DRUG GM,191561,1869,0.009757,0.146462,0.094772,1.422665,APPLES + CANDY - PACKAGED,APPLES,CANDY - PACKAGED,0.146462,Recommend CANDY - PACKAGED to baskets containing APPLES
HOT DOGS,SOFT DRINKS,MEAT-PCKGD,GROCERY,191561,5065,0.026441,0.47964,0.078424,1.422627,HOT DOGS + SOFT DRINKS,HOT DOGS,SOFT DRINKS,0.47964,Recommend SOFT DRINKS to baskets containing HOT DOGS
BREAKFAST SWEETS,REFRGRATD JUICES/DRNKS,PASTRY,GROCERY,191561,1386,0.007235,0.184162,0.05588,1.422335,BREAKFAST SWEETS + REFRGRATD JUICES/DRNKS,BREAKFAST SWEETS,REFRGRATD JUICES/DRNKS,0.184162,Recommend REFRGRATD JUICES/DRNKS to baskets containing BREAKFAST SWEETS
COLD AND FLU,PAPER TOWELS,DRUG GM,GROCERY,191561,295,0.00154,0.072375,0.030263,1.422261,COLD AND FLU + PAPER TOWELS,COLD AND FLU,PAPER TOWELS,0.072375,Recommend PAPER TOWELS to baskets containing COLD AND FLU
DRY MIX DESSERTS,SOAP - LIQUID & BAR,GROCERY,DRUG GM,191561,210,0.001096,0.040713,0.038293,1.422157,DRY MIX DESSERTS + SOAP - LIQUID & BAR,DRY MIX DESSERTS,SOAP - LIQUID & BAR,0.040713,Recommend SOAP - LIQUID & BAR to baskets containing DRY MIX DESSERTS
HAIR CARE PRODUCTS,VEGETABLES - ALL OTHERS,DRUG GM,PRODUCE,191561,851,0.004442,0.117981,0.053535,1.421782,HAIR CARE PRODUCTS + VEGETABLES - ALL OTHERS,HAIR CARE PRODUCTS,VEGETABLES - ALL OTHERS,0.117981,Recommend VEGETABLES - ALL OTHERS to baskets containing HAIR CARE PRODUCTS
BATH TISSUES,REFRIGERATED,GROCERY,NUTRITION,191561,465,0.002427,0.036086,0.09564,1.421762,BATH TISSUES + REFRIGERATED,REFRIGERATED,BATH TISSUES,0.09564,Recommend BATH TISSUES to baskets containing REFRIGERATED
FLUID MILK PRODUCTS,VEGETABLES SALAD,GROCERY,PRODUCE,191561,5134,0.026801,0.077542,0.491386,1.421716,FLUID MILK PRODUCTS + VEGETABLES SALAD,VEGETABLES SALAD,FLUID MILK PRODUCTS,0.491386,Recommend FLUID MILK PRODUCTS to baskets containing VEGETABLES SALAD
CANDY - PACKAGED,REFRGRATD DOUGH PRODUCTS,DRUG GM,GROCERY,191561,1981,0.010341,0.100451,0.146361,1.421688,CANDY - PACKAGED + REFRGRATD DOUGH PRODUCTS,REFRGRATD DOUGH PRODUCTS,CANDY - PACKAGED,0.146361,Recommend CANDY - PACKAGED to baskets containing REFRGRATD DOUGH PRODUCTS
BREAD,SOAP - LIQUID & BAR,PASTRY,DRUG GM,191561,313,0.001634,0.040692,0.057075,1.421395,BREAD + SOAP - LIQUID & BAR,SOAP - LIQUID & BAR,BREAD,0.057075,Recommend BREAD to baskets containing SOAP - LIQUID & BAR
CHEESE,VALUE ADDED FRUIT,GROCERY,PRODUCE,191561,1914,0.009992,0.041829,0.339482,1.421206,CHEESE + VALUE ADDED FRUIT,VALUE ADDED FRUIT,CHEESE,0.339482,Recommend CHEESE to baskets containing VALUE ADDED FRUIT
REFRGRATD JUICES/DRNKS,WATER - CARBONATED/FLVRD DRINK,GROCERY,GROCERY,191561,3009,0.015708,0.121316,0.184014,1.421197,REFRGRATD JUICES/DRNKS + WATER - CARBONATED/FLVRD DRINK,WATER - CARBONATED/FLVRD DRINK,REFRGRATD JUICES/DRNKS,0.184014,Recommend REFRGRATD JUICES/DRNKS to baskets containing WATER - CARBONATED/FLVRD DRINK
FRZN NOVELTIES/WTR ICE,SPICES & EXTRACTS,GROCERY,GROCERY,191561,653,0.003409,0.067264,0.072019,1.421107,FRZN NOVELTIES/WTR ICE + SPICES & EXTRACTS,SPICES & EXTRACTS,FRZN NOVELTIES/WTR ICE,0.072019,Recommend FRZN NOVELTIES/WTR ICE to baskets containing SPICES & EXTRACTS
DRY NOODLES/PASTA,WATER - CARBONATED/FLVRD DRINK,GROCERY,GROCERY,191561,1632,0.008519,0.121275,0.099804,1.420719,DRY NOODLES/PASTA + WATER - CARBONATED/FLVRD DRINK,DRY NOODLES/PASTA,WATER - CARBONATED/FLVRD DRINK,0.121275,Recommend WATER - CARBONATED/FLVRD DRINK to baskets containing DRY NOODLES/PASTA
BERRIES,COUPON/MISC ITEMS,PRODUCE,KIOSK-GAS,191561,317,0.001655,0.035876,0.065523,1.420512,BERRIES + COUPON/MISC ITEMS,COUPON/MISC ITEMS,BERRIES,0.065523,Recommend BERRIES to baskets containing COUPON/MISC ITEMS
DINNER SAUSAGE,ICE CREAM/MILK/SHERBTS,MEAT-PCKGD,GROCERY,191561,1311,0.006844,0.137077,0.070915,1.420377,DINNER SAUSAGE + ICE CREAM/MILK/SHERBTS,DINNER SAUSAGE,ICE CREAM/MILK/SHERBTS,0.137077,Recommend ICE CREAM/MILK/SHERBTS to baskets containing DINNER SAUSAGE
BREAD,FRUIT - SHELF STABLE,PASTRY,GROCERY,191561,724,0.003779,0.094124,0.057026,1.420167,BREAD + FRUIT - SHELF STABLE,BREAD,FRUIT - SHELF STABLE,0.094124,Recommend FRUIT - SHELF STABLE to baskets containing BREAD
MAGAZINE,ORGANICS FRUIT & VEGETABLES,DRUG GM,PRODUCE,191561,257,0.001342,0.038148,0.049942,1.420051,MAGAZINE + ORGANICS FRUIT & VEGETABLES,ORGANICS FRUIT & VEGETABLES,MAGAZINE,0.049942,Recommend MAGAZINE to baskets containing ORGANICS FRUIT & VEGETABLES
CANDY - PACKAGED,FRUIT - SHELF STABLE,DRUG GM,GROCERY,191561,1856,0.009689,0.094113,0.146188,1.420003,CANDY - PACKAGED + FRUIT - SHELF STABLE,FRUIT - SHELF STABLE,CANDY - PACKAGED,0.146188,Recommend CANDY - PACKAGED to baskets containing FRUIT - SHELF STABLE
SALADS/DIPS,VEGETABLES - SHELF STABLE,DELI,GROCERY,191561,932,0.004865,0.161665,0.042727,1.419738,SALADS/DIPS + VEGETABLES - SHELF STABLE,SALADS/DIPS,VEGETABLES - SHELF STABLE,0.161665,Recommend VEGETABLES - SHELF STABLE to baskets containing SALADS/DIPS
ISOTONIC DRINKS,ORGANICS FRUIT & VEGETABLES,GROCERY,PRODUCE,191561,189,0.000987,0.038136,0.036728,1.419606,ISOTONIC DRINKS + ORGANICS FRUIT & VEGETABLES,ISOTONIC DRINKS,ORGANICS FRUIT & VEGETABLES,0.038136,Recommend ORGANICS FRUIT & VEGETABLES to baskets containing ISOTONIC DRINKS
BAG SNACKS,SHORTENING/OIL,GROCERY,GROCERY,191561,2349,0.012262,0.058174,0.299236,1.419596,BAG SNACKS + SHORTENING/OIL,SHORTENING/OIL,BAG SNACKS,0.299236,Recommend BAG SNACKS to baskets containing SHORTENING/OIL
BREAKFAST SWEETS,ICE CREAM/MILK/SHERBTS,PASTRY,GROCERY,191561,1031,0.005382,0.136992,0.055769,1.419499,BREAKFAST SWEETS + ICE CREAM/MILK/SHERBTS,BREAKFAST SWEETS,ICE CREAM/MILK/SHERBTS,0.136992,Recommend ICE CREAM/MILK/SHERBTS to baskets containing BREAKFAST SWEETS
BAG SNACKS,REFRGRATD JUICES/DRNKS,GROCERY,GROCERY,191561,7419,0.038729,0.183734,0.299117,1.419034,BAG SNACKS + REFRGRATD JUICES/DRNKS,REFRGRATD JUICES/DRNKS,BAG SNACKS,0.299117,Recommend BAG SNACKS to baskets containing REFRGRATD JUICES/DRNKS
FROZEN PIE/DESSERTS,PAPER TOWELS,GROCERY,GROCERY,191561,444,0.002318,0.072207,0.045548,1.41896,FROZEN PIE/DESSERTS + PAPER TOWELS,FROZEN PIE/DESSERTS,PAPER TOWELS,0.072207,Recommend PAPER TOWELS to baskets containing FROZEN PIE/DESSERTS
CHEESES,CHICKEN/POULTRY,DELI,DELI,191561,427,0.002229,0.038769,0.081582,1.418914,CHEESES + CHICKEN/POULTRY,CHICKEN/POULTRY,CHEESES,0.081582,Recommend CHEESES to baskets containing CHICKEN/POULTRY
DOG FOODS,SUGARS/SWEETNERS,GROCERY,GROCERY,191561,463,0.002417,0.072412,0.047361,1.418908,DOG FOODS + SUGARS/SWEETNERS,DOG FOODS,SUGARS/SWEETNERS,0.072412,Recommend SUGARS/SWEETNERS to baskets containing DOG FOODS
BEEF,SNACK NUTS,MEAT,GROCERY,191561,1174,0.006129,0.033036,0.26317,1.418607,BEEF + SNACK NUTS,SNACK NUTS,BEEF,0.26317,Recommend BEEF to baskets containing SNACK NUTS
CHEESE,ORAL HYGIENE PRODUCTS,GROCERY,DRUG GM,191561,2442,0.012748,0.053368,0.338837,1.418506,CHEESE + ORAL HYGIENE PRODUCTS,ORAL HYGIENE PRODUCTS,CHEESE,0.338837,Recommend CHEESE to baskets containing ORAL HYGIENE PRODUCTS
BAG SNACKS,HOUSEHOLD CLEANG NEEDS,GROCERY,GROCERY,191561,2043,0.010665,0.050596,0.29899,1.418432,BAG SNACKS + HOUSEHOLD CLEANG NEEDS,HOUSEHOLD CLEANG NEEDS,BAG SNACKS,0.29899,Recommend BAG SNACKS to baskets containing HOUSEHOLD CLEANG NEEDS
 ,HOT DOGS, ,MEAT-PCKGD,191561,529,0.002762,0.078185,0.050095,1.418296,  + HOT DOGS, ,HOT DOGS,0.078185,Recommend HOT DOGS to baskets containing  
DOG FOODS,FROZEN PIE/DESSERTS,GROCERY,GROCERY,191561,291,0.001519,0.045511,0.047325,1.417826,DOG FOODS + FROZEN PIE/DESSERTS,FROZEN PIE/DESSERTS,DOG FOODS,0.047325,Recommend DOG FOODS to baskets containing FROZEN PIE/DESSERTS
FROZEN PIE/DESSERTS,PWDR/CRYSTL DRNK MX,GROCERY,GROCERY,191561,227,0.001185,0.036917,0.045509,1.417758,FROZEN PIE/DESSERTS + PWDR/CRYSTL DRNK MX,PWDR/CRYSTL DRNK MX,FROZEN PIE/DESSERTS,0.045509,Recommend FROZEN PIE/DESSERTS to baskets containing PWDR/CRYSTL DRNK MX
BREAKFAST SAUSAGE/SANDWICHES,ORAL HYGIENE PRODUCTS,MEAT-PCKGD,DRUG GM,191561,563,0.002939,0.053335,0.078118,1.417626,BREAKFAST SAUSAGE/SANDWICHES + ORAL HYGIENE PRODUCTS,ORAL HYGIENE PRODUCTS,BREAKFAST SAUSAGE/SANDWICHES,0.078118,Recommend BREAKFAST SAUSAGE/SANDWICHES to baskets containing ORAL HYGIENE PRODUCTS
MISC. DAIRY,ROLLS,GROCERY,PASTRY,191561,256,0.001336,0.036452,0.051959,1.417235,MISC. DAIRY + ROLLS,ROLLS,MISC. DAIRY,0.051959,Recommend MISC. DAIRY to baskets containing ROLLS
FROZEN PIE/DESSERTS,HISPANIC,GROCERY,GROCERY,191561,619,0.003231,0.100667,0.045478,1.416783,FROZEN PIE/DESSERTS + HISPANIC,FROZEN PIE/DESSERTS,HISPANIC,0.100667,Recommend HISPANIC to baskets containing FROZEN PIE/DESSERTS
CARROTS,GREETING CARDS/WRAP/PARTY SPLY,PRODUCE,DRUG GM,191561,385,0.00201,0.047666,0.059736,1.416755,CARROTS + GREETING CARDS/WRAP/PARTY SPLY,GREETING CARDS/WRAP/PARTY SPLY,CARROTS,0.059736,Recommend CARROTS to baskets containing GREETING CARDS/WRAP/PARTY SPLY
ICE CREAM/MILK/SHERBTS,SALD DRSNG/SNDWCH SPRD,GROCERY,GROCERY,191561,2205,0.011511,0.119273,0.136685,1.416319,ICE CREAM/MILK/SHERBTS + SALD DRSNG/SNDWCH SPRD,SALD DRSNG/SNDWCH SPRD,ICE CREAM/MILK/SHERBTS,0.136685,Recommend ICE CREAM/MILK/SHERBTS to baskets containing SALD DRSNG/SNDWCH SPRD
FLUID MILK PRODUCTS,HOUSEHOLD CLEANG NEEDS,GROCERY,GROCERY,191561,3344,0.017457,0.050507,0.48939,1.41594,FLUID MILK PRODUCTS + HOUSEHOLD CLEANG NEEDS,HOUSEHOLD CLEANG NEEDS,FLUID MILK PRODUCTS,0.48939,Recommend FLUID MILK PRODUCTS to baskets containing HOUSEHOLD CLEANG NEEDS
COFFEE,REFRGRATD JUICES/DRNKS,GROCERY,GROCERY,191561,1979,0.010331,0.183275,0.079789,1.415485,COFFEE + REFRGRATD JUICES/DRNKS,COFFEE,REFRGRATD JUICES/DRNKS,0.183275,Recommend REFRGRATD JUICES/DRNKS to baskets containing COFFEE
HOUSEHOLD CLEANG NEEDS,SALADS/DIPS,GROCERY,DELI,191561,291,0.001519,0.042587,0.050477,1.415107,HOUSEHOLD CLEANG NEEDS + SALADS/DIPS,SALADS/DIPS,HOUSEHOLD CLEANG NEEDS,0.050477,Recommend HOUSEHOLD CLEANG NEEDS to baskets containing SALADS/DIPS
CHEESES,MAGAZINE,DELI,DRUG GM,191561,548,0.002861,0.049755,0.081342,1.414738,CHEESES + MAGAZINE,MAGAZINE,CHEESES,0.081342,Recommend CHEESES to baskets containing MAGAZINE
FRZN NOVELTIES/WTR ICE,MAGAZINE,GROCERY,DRUG GM,191561,483,0.002521,0.049753,0.071694,1.414679,FRZN NOVELTIES/WTR ICE + MAGAZINE,MAGAZINE,FRZN NOVELTIES/WTR ICE,0.071694,Recommend FRZN NOVELTIES/WTR ICE to baskets containing MAGAZINE
POTATOES,WATER - CARBONATED/FLVRD DRINK,PRODUCE,GROCERY,191561,1780,0.009292,0.120694,0.108855,1.413914,POTATOES + WATER - CARBONATED/FLVRD DRINK,POTATOES,WATER - CARBONATED/FLVRD DRINK,0.120694,Recommend WATER - CARBONATED/FLVRD DRINK to baskets containing POTATOES
FRZN POTATOES,GRAPES,GROCERY,PRODUCE,191561,562,0.002934,0.07219,0.057458,1.413844,FRZN POTATOES + GRAPES,FRZN POTATOES,GRAPES,0.07219,Recommend GRAPES to baskets containing FRZN POTATOES
CANDY - PACKAGED,GRAPES,DRUG GM,PRODUCE,191561,1423,0.007428,0.072157,0.145486,1.413188,CANDY - PACKAGED + GRAPES,GRAPES,CANDY - PACKAGED,0.145486,Recommend CANDY - PACKAGED to baskets containing GRAPES
EGGS,WAREHOUSE SNACKS,GROCERY,GROCERY,191561,1234,0.006442,0.04555,0.199838,1.413059,EGGS + WAREHOUSE SNACKS,WAREHOUSE SNACKS,EGGS,0.199838,Recommend EGGS to baskets containing WAREHOUSE SNACKS
BREAKFAST SAUSAGE/SANDWICHES,BREAKFAST SWEETS,MEAT-PCKGD,PASTRY,191561,586,0.003059,0.055513,0.077863,1.412997,BREAKFAST SAUSAGE/SANDWICHES + BREAKFAST SWEETS,BREAKFAST SWEETS,BREAKFAST SAUSAGE/SANDWICHES,0.077863,Recommend BREAKFAST SAUSAGE/SANDWICHES to baskets containing BREAKFAST SWEETS
FRZN NOVELTIES/WTR ICE,PEPPERS-ALL,GROCERY,PRODUCE,191561,570,0.002976,0.058714,0.071608,1.41299,FRZN NOVELTIES/WTR ICE + PEPPERS-ALL,PEPPERS-ALL,FRZN NOVELTIES/WTR ICE,0.071608,Recommend FRZN NOVELTIES/WTR ICE to baskets containing PEPPERS-ALL
CHEESE,REFRIGERATED,GROCERY,NUTRITION,191561,1641,0.008566,0.035863,0.337515,1.412972,CHEESE + REFRIGERATED,REFRIGERATED,CHEESE,0.337515,Recommend CHEESE to baskets containing REFRIGERATED
FRZN MEAT/MEAT DINNERS,WATER - CARBONATED/FLVRD DRINK,GROCERY,GROCERY,191561,2607,0.013609,0.120611,0.15943,1.412934,FRZN MEAT/MEAT DINNERS + WATER - CARBONATED/FLVRD DRINK,WATER - CARBONATED/FLVRD DRINK,FRZN MEAT/MEAT DINNERS,0.15943,Recommend FRZN MEAT/MEAT DINNERS to baskets containing WATER - CARBONATED/FLVRD DRINK
FLUID MILK PRODUCTS,ORGANICS FRUIT & VEGETABLES,GROCERY,PRODUCE,191561,2513,0.013119,0.037956,0.48834,1.412904,FLUID MILK PRODUCTS + ORGANICS FRUIT & VEGETABLES,ORGANICS FRUIT & VEGETABLES,FLUID MILK PRODUCTS,0.48834,Recommend FLUID MILK PRODUCTS to baskets containing ORGANICS FRUIT & VEGETABLES
DOG FOODS,YOGURT,GROCERY,GROCERY,191561,799,0.004171,0.124961,0.047153,1.412667,DOG FOODS + YOGURT,DOG FOODS,YOGURT,0.124961,Recommend YOGURT to baskets containing DOG FOODS
GREETING CARDS/WRAP/PARTY SPLY,MUSHROOMS,DRUG GM,PRODUCE,191561,218,0.001138,0.033825,0.047526,1.412576,GREETING CARDS/WRAP/PARTY SPLY + MUSHROOMS,MUSHROOMS,GREETING CARDS/WRAP/PARTY SPLY,0.047526,Recommend GREETING CARDS/WRAP/PARTY SPLY to baskets containing MUSHROOMS
FLUID MILK PRODUCTS,PROCESSED,GROCERY,PRODUCE,191561,2215,0.011563,0.033455,0.488208,1.412521,FLUID MILK PRODUCTS + PROCESSED,PROCESSED,FLUID MILK PRODUCTS,0.488208,Recommend FLUID MILK PRODUCTS to baskets containing PROCESSED
FROZEN PIZZA,SOFT DRINKS,GROCERY,GROCERY,191561,10394,0.054259,0.476199,0.160935,1.412421,FROZEN PIZZA + SOFT DRINKS,FROZEN PIZZA,SOFT DRINKS,0.476199,Recommend SOFT DRINKS to baskets containing FROZEN PIZZA
HAIR CARE PRODUCTS,SPICES & EXTRACTS,DRUG GM,GROCERY,191561,482,0.002516,0.066824,0.05316,1.411805,HAIR CARE PRODUCTS + SPICES & EXTRACTS,HAIR CARE PRODUCTS,SPICES & EXTRACTS,0.066824,Recommend SPICES & EXTRACTS to baskets containing HAIR CARE PRODUCTS
FROZEN PIE/DESSERTS,MEAT - MISC,GROCERY,MEAT-PCKGD,191561,366,0.001911,0.059522,0.045303,1.411322,FROZEN PIE/DESSERTS + MEAT - MISC,FROZEN PIE/DESSERTS,MEAT - MISC,0.059522,Recommend MEAT - MISC to baskets containing FROZEN PIE/DESSERTS
FROZEN MEAT,SOFT DRINKS,MEAT-PCKGD,GROCERY,191561,3722,0.01943,0.475716,0.057629,1.410987,FROZEN MEAT + SOFT DRINKS,FROZEN MEAT,SOFT DRINKS,0.475716,Recommend SOFT DRINKS to baskets containing FROZEN MEAT
ORAL HYGIENE PRODUCTS,SALADS/DIPS,DRUG GM,DELI,191561,306,0.001597,0.042459,0.053079,1.41083,ORAL HYGIENE PRODUCTS + SALADS/DIPS,SALADS/DIPS,ORAL HYGIENE PRODUCTS,0.053079,Recommend ORAL HYGIENE PRODUCTS to baskets containing SALADS/DIPS
HAIR CARE PRODUCTS,MEAT - MISC,DRUG GM,MEAT-PCKGD,191561,429,0.002239,0.059476,0.053101,1.410233,HAIR CARE PRODUCTS + MEAT - MISC,HAIR CARE PRODUCTS,MEAT - MISC,0.059476,Recommend MEAT - MISC to baskets containing HAIR CARE PRODUCTS
EGGS,ICE CREAM/MILK/SHERBTS,GROCERY,GROCERY,191561,3687,0.019247,0.136097,0.199437,1.410226,EGGS + ICE CREAM/MILK/SHERBTS,ICE CREAM/MILK/SHERBTS,EGGS,0.199437,Recommend EGGS to baskets containing ICE CREAM/MILK/SHERBTS
HAIR CARE PRODUCTS,REFRGRATD JUICES/DRNKS,DRUG GM,GROCERY,191561,1317,0.006875,0.182587,0.053098,1.410174,HAIR CARE PRODUCTS + REFRGRATD JUICES/DRNKS,HAIR CARE PRODUCTS,REFRGRATD JUICES/DRNKS,0.182587,Recommend REFRGRATD JUICES/DRNKS to baskets containing HAIR CARE PRODUCTS
CANDY - PACKAGED,MAGAZINE,DRUG GM,DRUG GM,191561,978,0.005105,0.049592,0.145168,1.410102,CANDY - PACKAGED + MAGAZINE,MAGAZINE,CANDY - PACKAGED,0.145168,Recommend CANDY - PACKAGED to baskets containing MAGAZINE
BATH TISSUES,PEPPERS-ALL,GROCERY,PRODUCE,191561,755,0.003941,0.058591,0.094849,1.410012,BATH TISSUES + PEPPERS-ALL,PEPPERS-ALL,BATH TISSUES,0.094849,Recommend BATH TISSUES to baskets containing PEPPERS-ALL
MARGARINES,STONE FRUIT,GROCERY,PRODUCE,191561,513,0.002678,0.039298,0.096085,1.410006,MARGARINES + STONE FRUIT,STONE FRUIT,MARGARINES,0.096085,Recommend MARGARINES to baskets containing STONE FRUIT
CANDY - PACKAGED,ORAL HYGIENE PRODUCTS,DRUG GM,DRUG GM,191561,1046,0.00546,0.05304,0.145137,1.409793,CANDY - PACKAGED + ORAL HYGIENE PRODUCTS,ORAL HYGIENE PRODUCTS,CANDY - PACKAGED,0.145137,Recommend CANDY - PACKAGED to baskets containing ORAL HYGIENE PRODUCTS
SUGARS/SWEETNERS,TOMATOES,GROCERY,PRODUCE,191561,1072,0.005596,0.109656,0.071941,1.409695,SUGARS/SWEETNERS + TOMATOES,SUGARS/SWEETNERS,TOMATOES,0.109656,Recommend TOMATOES to baskets containing SUGARS/SWEETNERS
BERRIES,LUNCHMEAT,PRODUCE,MEAT-PCKGD,191561,1488,0.007768,0.168402,0.065015,1.409501,BERRIES + LUNCHMEAT,BERRIES,LUNCHMEAT,0.168402,Recommend LUNCHMEAT to baskets containing BERRIES
DINNER SAUSAGE,FLUID MILK PRODUCTS,MEAT-PCKGD,GROCERY,191561,4659,0.024321,0.487139,0.070368,1.409429,DINNER SAUSAGE + FLUID MILK PRODUCTS,DINNER SAUSAGE,FLUID MILK PRODUCTS,0.487139,Recommend FLUID MILK PRODUCTS to baskets containing DINNER SAUSAGE
BREAKFAST SAUSAGE/SANDWICHES,HAIR CARE PRODUCTS,MEAT-PCKGD,DRUG GM,191561,560,0.002923,0.05305,0.077638,1.408899,BREAKFAST SAUSAGE/SANDWICHES + HAIR CARE PRODUCTS,HAIR CARE PRODUCTS,BREAKFAST SAUSAGE/SANDWICHES,0.077638,Recommend BREAKFAST SAUSAGE/SANDWICHES to baskets containing HAIR CARE PRODUCTS
